,number,value,datetime_start,datetime_complete,duration,params_dropout,params_gamma,params_lambda_adv,params_lambda_contrast,params_learning_rate,params_min_lr,params_momentum,params_optimizer,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0,0.3451035781544256,2024-12-23 09:26:03.081035,2024-12-23 09:28:16.981173,0 days 00:02:13.900138,0.3064267928867118,0.3119570978221865,0.5581533133113711,0.3635247052562095,0.0025707030982196582,,0.8592255444985684,sgd,step,38.0,,5.527742894468761e-06,PRUNED
1,1,0.3451035781544256,2024-12-23 09:28:16.996804,2024-12-23 09:30:28.489323,0 days 00:02:11.492519,0.14687257698315404,,0.9078964129823754,0.06413514808076319,0.00043473802418114114,3.2473818350533516e-05,0.851844664039431,sgd,cosine,,11.0,3.729987799935766e-05,PRUNED
2,2,0.3451035781544256,2024-12-23 09:30:28.489323,2024-12-23 09:32:40.439816,0 days 00:02:11.950493,0.18520741362285864,,0.037354236031582506,0.8825280838431373,0.00023935882714418228,1.2419023191550942e-06,0.9784492216186073,sgd,cosine,,19.0,0.00014004019919846664,PRUNED
3,3,0.34401508011310084,2024-12-23 19:57:51.534312,2024-12-23 20:01:56.723588,0 days 00:04:05.189276,0.20296113062554164,0.37228521448704954,0.47535387454334704,0.733972209082508,0.00013301159699782261,,,adam,step,11.0,,0.00022528587753251823,PRUNED
4,4,0.6559849198868991,2024-12-23 20:01:56.757541,2024-12-23 20:09:40.831246,0 days 00:07:44.073705,0.29032329557804404,,0.1417127986085573,0.03664282044746234,0.00018402396949109375,2.0790996423922816e-06,0.9201498502976534,sgd,cosine,,15.0,2.8509840270135767e-05,COMPLETE
5,5,0.4410933081998115,2024-12-23 20:09:40.896246,2024-12-23 20:16:06.195261,0 days 00:06:25.299015,0.4338679731487053,0.16016944078845247,0.17293001852131157,0.36641058659306036,0.0002724108691360062,,0.8470856643241945,sgd,step,34.0,,0.0005187435960830445,PRUNED
6,6,0.34401508011310084,2024-12-23 20:16:06.233258,2024-12-23 20:19:47.370289,0 days 00:03:41.137031,0.3259311264363218,,0.34352889530506125,0.1464828674745111,0.0032438753347250743,3.4192338202535484e-06,,adam,cosine,,11.0,0.00040711207592798493,PRUNED
7,7,0.5051837888784166,2024-12-23 20:19:47.414287,2024-12-23 20:23:30.052441,0 days 00:03:42.638154,0.4536492005891304,0.33155771940087786,0.781918167148293,0.7850291448837203,0.00027160581073611134,,,adam,step,6.0,,2.951054235728008e-05,PRUNED
8,8,0.4213006597549482,2024-12-23 20:23:30.101443,2024-12-23 20:31:12.877194,0 days 00:07:42.775751,0.42739014893194527,,0.45742578462582073,0.7321036177187333,1.5355747027403682e-05,4.011843628114005e-05,0.9206093010193441,sgd,cosine,,11.0,0.00030292319361197034,PRUNED
