epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,10,0.6762548089027405,0.6759074926376343,1.59765625,-0.9999735355377197,0.5,1.0,1.0,0.0,0.0,0.68184423659529,0.4370748299319728,0.75,0.07142857142857142,0.9523809523809523,0.9404761904761905
1,10,0.7202180922031403,0.7204556465148926,1.646484375,-0.9999774098396301,0.5,0.0,0.0,1.0,1.0,0.6706407612987927,0.4948979591836735,0.75,0.0,0.9761904761904762,0.9880952380952381
2,10,0.6761817336082458,0.6759074926376343,1.673828125,-0.9999735355377197,0.5,1.0,1.0,0.0,0.0,0.6603404517684665,0.5816326530612246,0.75,0.0,0.9761904761904762,0.9880952380952381
3,10,0.7204728722572327,0.7202083468437195,1.646484375,-1.0000001192092896,0.5,0.0,0.0,1.0,1.0,0.6509247177413532,0.564625850340136,0.75,0.07142857142857142,0.9523809523809523,0.9404761904761905
4,10,0.6760827600955963,0.6760748028755188,1.673828125,-1.0000001192092896,0.5,1.0,1.0,0.0,0.0,0.6424008480140141,0.6224489795918368,0.75,0.2857142857142857,1.0,0.8571428571428572
