epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,14,0.6901445686817169,0.6904816627502441,1.6044921875,-1.0,0.5,1.0,1.0,0.0,0.0,0.6922677382826805,0.4447278911564626,0.75,0.0,0.9523809523809523,0.9761904761904762
1,14,0.5342757105827332,0.6856038570404053,1.69775390625,-1.0,1.0,1.0,1.0,0.0,0.0,0.6903045124241284,0.5255102040816327,0.75,0.0,0.9523809523809523,0.9761904761904762
2,14,0.5558881163597107,0.6607705950737,1.70068359375,-1.0,1.0,1.0,1.0,0.0,0.0,0.6886234464389938,0.5068027210884353,0.75,0.07142857142857142,0.9761904761904762,0.9523809523809523
3,14,0.4800250232219696,0.5363783240318298,1.70556640625,-1.0,1.0,1.0,1.0,0.0,0.0,0.6868918399725642,0.45238095238095244,0.75,0.07142857142857142,0.9761904761904762,0.9523809523809523
4,14,0.4312419146299362,0.48001712560653687,1.68017578125,-1.0,1.0,1.0,1.0,0.0,0.0,0.6846254499895232,0.46598639455782315,0.75,0.07142857142857142,0.9523809523809523,0.9404761904761905
