epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,13,0.7101914584636688,0.7102319002151489,1.6083984375,-1.0000001192092896,0.5,0.0,0.0,1.0,1.0,0.6855277600032943,0.4744897959183674,0.75,0.14285714285714285,0.9523809523809523,0.9047619047619048
1,13,0.6931544542312622,0.6968286037445068,1.62841796875,-0.9999722838401794,0.5,1.0,1.0,0.0,0.0,0.6794556677341461,0.5782312925170068,0.75,0.07142857142857142,1.0,0.9642857142857143
2,13,0.7032704949378967,0.7087810039520264,1.62255859375,-0.9999814033508301,0.5,0.0,0.0,1.0,1.0,0.6739120089582035,0.6071428571428571,0.75,0.14285714285714285,1.0,0.9285714285714286
3,13,0.6837965846061707,0.6902663111686707,1.625,-1.0,0.5,1.0,1.0,0.0,0.0,0.6691905164292881,0.576530612244898,0.75,0.2857142857142857,0.8571428571428571,0.7857142857142857
4,13,0.6936860680580139,0.7001947164535522,1.619140625,-1.0000001192092896,0.5,1.0,1.0,0.0,0.0,0.6647742678012166,0.6241496598639455,0.75,0.2857142857142857,0.8809523809523809,0.7976190476190477
