epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,8,0.7172666490077972,0.7174532413482666,1.615234375,-1.0,0.5,0.0,0.0,1.0,1.0,0.6908186319712046,0.525,0.8648648648648649,0.0,0.75,0.875
1,8,0.7139765918254852,0.7144230604171753,1.6708984375,-0.9999772906303406,0.5,0.0,0.0,1.0,1.0,0.6878919633659156,0.63125,0.8648648648648649,0.2,0.8125,0.80625
2,8,0.7017907500267029,0.7072252035140991,1.66650390625,-0.9999731779098511,0.5,1.0,1.0,0.0,0.0,0.6849278662655804,0.725,0.8648648648648649,0.0,0.65625,0.828125
3,8,0.7068024575710297,0.7115404605865479,1.66796875,-1.0,0.5,1.0,1.0,0.0,0.0,0.6810973866565807,0.6875,0.8648648648648649,0.0,0.5625,0.78125
4,8,0.714249849319458,0.7191025018692017,1.6689453125,-0.9999806880950928,0.5,0.0,0.0,1.0,1.0,0.6790356394406911,0.4375,0.8648648648648649,0.0,0.78125,0.890625
