epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,17,0.7402041256427765,0.7402191758155823,1.59375,-1.0,0.5,0.0,0.0,1.0,1.0,0.6872474870511464,0.5459183673469388,0.75,0.14285714285714285,0.9285714285714286,0.8928571428571429
1,17,0.6367028951644897,0.7034931182861328,1.66845703125,-1.0000001192092896,0.5,1.0,1.0,0.0,0.0,0.6829239811216082,0.6428571428571428,0.75,0.0,0.9285714285714286,0.9642857142857143
2,17,0.6510332226753235,0.651121973991394,1.650390625,-0.9999741315841675,0.5,1.0,1.0,0.0,0.0,0.6787293329834938,0.6768707482993197,0.75,0.07142857142857142,1.0,0.9642857142857143
3,17,0.5476834625005722,0.6371705532073975,1.6552734375,-1.0,1.0,1.0,1.0,0.0,0.0,0.6765767559409142,0.39455782312925175,0.75,0.0,1.0,1.0
4,17,0.47695885598659515,0.5899785757064819,1.6337890625,-0.9999748468399048,1.0,1.0,1.0,0.0,0.0,0.6753175269280162,0.44727891156462585,0.75,0.0,1.0,1.0
