epoch,trial,loss,cls_loss,domain_loss,contrast_loss,accuracy,auc,tpr@fpr=0.01,fpr@tpr=0.99,hter,val_loss,val_auc,val_accuracy,val_tpr@fpr=0.01,val_fpr@tpr=0.99,val_hter
0,20,0.6932770013809204,0.6933953762054443,1.625,-0.9999841451644897,0.5,0.0,0.0,1.0,1.0,0.6933256589940616,0.342687074829932,0.25,0.0,1.0,1.0
1,20,0.6781858801841736,0.6783648729324341,1.53759765625,-1.0,1.0,1.0,1.0,0.0,0.0,0.6927392003791673,0.4166666666666667,0.75,0.0,1.0,1.0
2,20,0.5905636847019196,0.6933953762054443,1.564453125,-0.9999841451644897,1.0,1.0,1.0,0.0,0.0,0.6924519464373589,0.4659863945578231,0.75,0.0,1.0,1.0
3,20,0.5223036408424377,0.5904515981674194,1.380859375,-0.9999862909317017,1.0,1.0,1.0,0.0,0.0,0.6924505499856812,0.44047619047619047,0.75,0.07142857142857142,1.0,0.9642857142857143
4,20,0.4363704323768616,0.5222748517990112,1.21826171875,-1.0000001192092896,1.0,1.0,1.0,0.0,0.0,0.6923399120569229,0.42517006802721086,0.75,0.0,1.0,1.0
